Date,FID,Station,Source,Longitude,Latitude,DEM,Location,GROUND,Chirps,IMERG(mm/hr),IMERG(mm/month),NDVI,Slope
1/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,274.9,256.2106934,0.338000029,251.4720218,,0.998313038
2/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,83.1,76.77853251,0.087000005,60.55200344,0.462,0.998313038
3/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,62,81.76579285,0.069000006,51.33600426,0.4673,0.998313038
4/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,13.7,20.33129978,0.013,9.360000193,0.57,0.998313038
5/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0.5,9.071334839,0.001,0.744000035,0.4522,0.998313038
9/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,1.4,0,0.013,9.360000193,0.3526,0.998313038
10/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,42.4,32.32023239,0.058000002,43.15200153,0.3519,0.998313038
11/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,43.5,47.99811029,0.047000002,33.84000152,0.395,0.998313038
12/1/2000,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,97.9,102.7140064,0.123000003,91.51200253,0.4387,0.998313038
1/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,80.9,92.23429108,0.083000004,61.75200319,0.4927,0.998313038
2/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,127.5,124.9922674,0.165000007,110.8800044,0.5501,0.998313038
3/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,13.2,53.10922384,0.023000002,17.11200142,0.5321,0.998313038
4/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,3.3,31.5864234,0.014,10.08000031,0.4954,0.998313038
5/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,1.2,18.64122534,0.028000001,20.83200064,0.4119,0.998313038
6/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0,0,0.3624,0.998313038
9/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0,0,0.3506,0.998313038
10/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,32.2,17.29483199,0.033,24.55199987,0.3457,0.998313038
11/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,66.9,67.06186867,0.088000007,63.36000502,0.3839,0.998313038
12/1/2001,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,149.9,154.9639988,0.179000005,133.1760038,0.4513,0.998313038
1/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,160.7,166.8653986,0.193000004,143.5920027,0.4552,0.998313038
2/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,75.6,97.0149231,0.085000001,57.1200006,0.4295,0.998313038
3/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,112.5,123.8175287,0.144000009,107.1360065,0.5003,0.998313038
4/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,60.4,71.48827553,0.078000002,56.16000116,0.522,0.998313038
5/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,3.4,9.874020815,0.006,4.464000039,0.509,0.998313038
8/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0,0,0.3822,0.998313038
9/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0.1,0,0.001,0.720000034,0.3744,0.998313038
10/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,15.1,15.58322263,0.015000001,11.16000044,0.3635,0.998313038
11/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,74.2,82.04756546,0.074000001,53.28000069,0.3718,0.998313038
12/1/2002,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,185.3,188.1475325,0.244000018,181.5360131,0.4341,0.998313038
1/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,134.8,136.8049469,0.166000009,123.5040064,0.4926,0.998313038
2/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,343.7,293.0894775,0.339000016,227.8080111,,0.998313038
3/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,171.5,150.2637138,0.191000015,142.1040108,0.5275,0.998313038
4/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,39.2,38.19845009,0.029000001,20.88000074,0.4886,0.998313038
5/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,9.18204689,0.002,1.488000071,0.4448,0.998313038
6/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0.002,1.440000068,0.4205,0.998313038
9/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0,0,0.3862,0.998313038
10/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,66.8,14.35138237,0.015000001,11.16000044,0.4214,0.998313038
11/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,46.7,53.63620758,0.046000004,33.12000275,0.4344,0.998313038
12/1/2003,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,177.7,149.2356796,0.161000013,119.7840099,0.4343,0.998313038
1/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,283.5,209.2501793,0.30400002,226.1760149,0.4671,0.998313038
2/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,129.7,146.4292698,0.161000013,112.0560093,0.5017,0.998313038
3/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,5.2,71.5953083,0.017000001,12.64800069,0.5137,0.998313038
4/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,14.8,23.71402693,0.016000001,11.52000055,0.4749,0.998313038
5/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0.3,9.746372223,0.003,2.232000019,0.4388,0.998313038
9/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0.001,0.720000034,0.387,0.998313038
10/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0.5,18.14184666,0.015000001,11.16000044,0.37,0.998313038
11/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,145.3,154.5094547,0.181000009,130.3200066,0.4094,0.998313038
12/1/2004,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,48.8,74.16433716,0.065000005,48.36000377,0.4368,0.998313038
1/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,155.5,179.5477066,0.165000007,122.7600049,0.4375,0.998313038
2/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,146.9,210.520093,0.179000005,120.2880034,0.527,0.998313038
3/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,31,55.07879448,0.036000002,26.78400162,0.5653,0.998313038
4/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,23.5,42.52140141,0.023000002,16.56000137,0.5235,0.998313038
5/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,11.9,15.04011488,0.021000002,15.62400118,0.4585,0.998313038
6/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0,0,0.4386,0.998313038
8/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0,0,0.3864,0.998313038
9/1/2005,90,Dafna Man 09/1976-05/2011,IMS,35.6337,33.2254,127,Mountainous ,0,0,0.002,1.440000068,0.385,0.998313038
